Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:6.5.1.6	15991.2190246577	-0.119105422989979	0.0421624100092913	35.5081554331095	1.94761009262804e-08	6.00089718395248e-07	DNA ligase (ATP or NAD(+))
EC:6.5.1.7	15991.2190246577	-0.119105422989979	0.0421624100092913	35.5081554331095	1.94761009262804e-08	6.00089718395248e-07	DNA ligase (ATP, ADP or GTP)
EC:2.7.8.20	226.3186233167	-1.00494910062259	0.389645966685166	35.3691524356126	2.08778673448248e-08	6.34090656787109e-07	Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase
EC:2.1.1.217	424.241859950652	-1.05320519384964	0.3712588903801	35.2939496669914	2.16778500333536e-08	6.40098738484857e-07	tRNA (adenine(22)-N(1))-methyltransferase
EC:5.3.2.5	290.344483948455	-1.3043090926158	0.388588905641341	35.3111333542676	2.14923951758777e-08	6.40098738484857e-07	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
EC:2.5.1.46	2996.57064551943	0.347561674629094	0.092293599935128	35.1599880609627	2.31795820348378e-08	6.68180783236556e-07	Deoxyhypusine synthase
EC:3.8.1.3	7409.04626666694	-0.145672971547379	0.0513148427569152	35.153279064269	2.32574684663712e-08	6.68180783236556e-07	Haloacetate dehalogenase
EC:2.3.1.54	1508.28963700725	0.736259395861527	0.211428935363316	34.4963434792052	3.23008678194785e-08	9.03574276108042e-07	Formate C-acetyltransferase
EC:3.5.2.17	10380.3459783806	-0.127555869429122	0.0478987301042356	34.4972310479268	3.22865363797691e-08	9.03574276108042e-07	Hydroxyisourate hydrolase
EC:1.1.1.125	5645.88397621959	-0.393281877644147	0.0718866504118958	34.4673870226989	3.27719289935543e-08	9.04845727796057e-07	2-deoxy-D-gluconate 3-dehydrogenase
EC:3.6.3.44	320.39072382977	-1.34262741840296	0.413232840215682	33.6712534701784	4.87955491060951e-08	1.3181476786376e-06	Xenobiotic-transporting ATPase
EC:4.2.3.130	291.247083225325	-1.41875675757113	0.402925681653515	33.6636655741419	4.89810285100519e-08	1.3181476786376e-06	Tetraprenyl-beta-curcumene synthase
EC:2.7.7.63	2201.90693758945	0.475374093219917	0.176900494980034	33.6060648494419	5.04122102310935e-08	1.33970448689131e-06	Lipoate--protein ligase
EC:2.7.1.66	289.944644285589	-1.47758991822616	0.412173687438171	33.5733715621614	5.12430529105617e-08	1.34497198133153e-06	Undecaprenol kinase
EC:2.3.1.204	288.222977073041	-1.4733935014484	0.412969045006893	33.4404467173406	5.47645166736483e-08	1.41987027375825e-06	Octanoyl-[GcvH]:protein N-octanoyltransferase
EC:1.1.99.1	18497.15219678	-0.160820169220003	0.0546714661377766	33.2700718170792	5.96342413507887e-08	1.52749876038285e-06	Choline dehydrogenase
EC:2.7.7.71	48.4462764991507	1.90174076742454	0.404879114938061	32.7341485631698	7.79596632698246e-08	1.97312195371008e-06	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
EC:1.1.1.305	96.737642065231	0.363358228062289	0.5110891271707	32.5675490461523	8.47318288032375e-08	2.09464962832189e-06	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:2.1.2.13	96.737642065231	0.363358228062289	0.5110891271707	32.5675490461523	8.47318288032375e-08	2.09464962832189e-06	UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC:4.2.2.6	2338.50152908664	-0.64339588295768	0.171701497523031	32.5415455086572	8.58406853746514e-08	2.09767008168401e-06	Oligogalacturonide lyase
EC:2.3.2.13	273.732801423362	-1.40996036791385	0.420978158028819	32.4618562230203	8.93300310620573e-08	2.13388366334757e-06	Protein-glutamine gamma-glutamyltransferase
EC:5.3.99.10	260.573590509513	-1.63461143843708	0.465789737074247	32.4725079617558	8.88555356578574e-08	2.13388366334757e-06	Thiazole tautomerase
EC:2.4.2.43	94.7749106433478	0.227200061701652	0.523942674736614	32.2991583525515	9.69006920403674e-08	2.2638557283277e-06	Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase
EC:2.6.1.87	94.7749106433478	0.227200061701652	0.523942674736614	32.2991583525515	9.69006920403674e-08	2.2638557283277e-06	UDP-4-amino-4-deoxy-L-arabinose aminotransferase
EC:6.2.1.30	20520.3889327963	-0.118406269725144	0.0448289590884781	32.2340529056611	1.00106976992386e-07	2.31334166397623e-06	Phenylacetate--CoA ligase
EC:2.4.1.321	1005.10400304983	-0.803501038746257	0.204560768434062	32.1506794847755	1.04368310965434e-07	2.38588203346788e-06	Cellobionic acid phosphorylase
EC:3.5.3.1	8394.89110893668	-0.232704607593973	0.0483385021954117	32.0911148503084	1.07523390698529e-07	2.43185881516034e-06	Arginase
EC:5.3.3.8	266.964689032869	0.242771426445161	0.269730394725378	32.016892445265	1.11588680357441e-07	2.49723720463073e-06	Dodecenoyl-CoA isomerase
EC:2.7.2.7	209.88126893003	-0.92420726790407	0.459680515629024	31.7686833184265	1.26333366346617e-07	2.79775767555112e-06	Butyrate kinase
EC:3.5.1.32	23056.1297629181	-0.166144622650871	0.0559766328375905	31.7381900030311	1.28274286613759e-07	2.81145498289537e-06	Hippurate hydrolase
EC:6.3.1.10	16776.9976171714	-0.0992858229715109	0.0372187897532327	31.684366156351	1.31773265329226e-07	2.85867308255035e-06	Adenosylcobinamide-phosphate synthase
EC:4.1.99.14	370.727579366036	-0.914550360800122	0.301866935894522	31.4890096451424	1.45294252597666e-07	3.12015738406705e-06	Spore photoproduct lyase
EC:2.8.3.16	13515.8699180515	-0.153114066625901	0.0530167823249879	31.4541300075179	1.47850382472029e-07	3.14329913135534e-06	Formyl-CoA transferase
EC:2.3.1.9	79264.3953626134	-0.016704560411467	0.0205316352253746	31.3678620813915	1.5436729516134e-07	3.24935514369315e-06	Acetyl-CoA C-acetyltransferase
EC:4.4.1.21	266.865150455437	-0.922067405321035	0.397340155420358	31.312890695463	1.58669034570386e-07	3.30716046565335e-06	S-ribosylhomocysteine lyase
EC:4.2.1.32	22.6496354664481	-0.0921429208508088	1.72668882859341	31.1046839948135	1.76077429659519e-07	3.63437490734113e-06	L(+)-tartrate dehydratase
